port_code,latitude,longitude,ATA_lat,ATA_long,ATA,ATB_lat,ATB_long,ATB,ATD_lat,ATD_long,ATD
CNYAN,30.65356,122.01723,30.55489,122.31396,2022-07-01 07:05:38 Z,30.65373,122.01718,2022-07-01 09:20:50 Z,30.65311,122.01656,2022-07-02 09:46:23 Z
KRBNP,35.07709,128.78807,35.07718,128.78809,2022-07-04 04:53:27 Z,35.07735,128.78813,2022-07-04 04:57:34 Z,35.07715,128.78788,2022-07-05 19:15:00 Z
CAPRR,54.28778,-130.36147,54.28963,-130.3614,2022-07-19 10:06:24 Z,54.28901,-130.3608,2022-07-19 10:23:50 Z,54.28907,-130.36167,2022-07-20 09:00:07 Z
CA102,49.28981,-123.09936,49.30673,-123.18945,2022-08-18 08:52:37 Z,49.29073,-123.0997,2022-08-18 11:45:38 Z,49.29378333,-123.096305,2022-08-24 10:40:45 Z
USTIW,47.26072667,-122.38647333,47.28464833,-122.42295,2022-08-24 23:46:01 Z,47.275395,-122.40874667,2022-08-25 00:10:15 Z,47.28536,-122.43119833,2022-08-29 02:40:34 Z
