port_code,latitude,longitude,ATA_lat,ATA_long,ATA,ATB_lat,ATB_long,ATB,ATD_lat,ATD_long,ATD
GBSOU,50.90519,-1.44499,50.90527,-1.445,2022-06-30 14:58:38 Z,50.90527,-1.445,2022-06-30 14:58:38 Z,50.90494,-1.44405,2022-07-02 10:55:30 Z
SGSIN,1.27357,103.77409,1.27296,103.77508,2022-07-23 11:30:06 Z,1.27354,103.77436,2022-07-23 11:40:05 Z,1.27367,103.77433,2022-07-25 04:25:02 Z
HKSTN,22.34565,114.12049,22.34548,114.12011,2022-08-01 07:55:48 Z,22.34573,114.12038,2022-08-01 08:01:26 Z,22.3455,114.11942,2022-08-02 13:20:32 Z
CNFHC,24.44497,118.01664,24.38563,118.11939,2022-08-03 09:59:21 Z,24.44501,118.01657,2022-08-05 00:30:27 Z,24.44253,118.01476,2022-08-05 14:48:34 Z
TWKHH,22.5439,120.32835,22.54406,120.32842,2022-08-06 05:50:46 Z,22.54399,120.32831,2022-08-06 06:00:40 Z,22.54409,120.32845,2022-08-08 05:55:37 Z
CNSTJ,22.57566,114.28082,22.57579,114.28111,2022-08-11 07:10:40 Z,22.57584,114.2807,2022-08-11 07:16:32 Z,22.57575,114.28239,2022-08-12 19:14:23 Z
