port_code,latitude,longitude,ATA_lat,ATA_long,ATA,ATB_lat,ATB_long,ATB,ATD_lat,ATD_long,ATD
PECLL,-12.05451,-77.14794,-12.04903,-77.15166,2022-07-03 16:30:30 Z,-12.05438,-77.14796,2022-07-03 17:15:39 Z,-12.0534,-77.14787,2022-07-04 19:10:25 Z
CLPAG,-23.06665,-70.3861,-23.01346,-70.41202,2022-07-11 03:39:02 Z,-23.06664,-70.38606,2022-07-11 06:18:02 Z,-23.06647,-70.38562,2022-07-12 18:42:26 Z
CLVAP,-33.03247,-71.62657,-33.02931,-71.62722,2022-07-16 02:20:19 Z,-33.02927,-71.62727,2022-07-16 02:25:08 Z,-33.03245,-71.62599,2022-07-19 04:10:07 Z
HKHKG,22.33529,114.1164,22.56231,114.27966,2022-08-14 08:30:34 Z,22.33562,114.11636,2022-08-16 03:12:20 Z,22.33372,114.11969,2022-08-17 07:40:24 Z
CNYAN,30.650405,122.02975333,30.64901333,122.02917167,2022-08-20 15:25:07 Z,30.650685,122.02976833,2022-08-20 15:36:35 Z,30.65016333,122.02960167,2022-08-21 16:55:24 Z
