port_code,latitude,longitude,ATA_lat,ATA_long,ATA,ATB_lat,ATB_long,ATB,ATD_lat,ATD_long,ATD
KRBNP,35.06967,128.82187,35.0706,128.81952,2022-07-17 12:45:04 Z,35.06995,128.82145,2022-07-17 12:50:04 Z,35.07302,128.81948,2022-07-18 17:30:09 Z
CNSTJ,22.57363,114.26347,22.44562,114.58855,2022-07-22 20:50:35 Z,22.57383,114.26365,2022-07-25 11:10:25 Z,22.57275,114.2635,2022-07-26 17:05:27 Z
CARTB,49.01936667,-123.15136667,49.29956667,-123.23103333,2022-08-24 18:17:45 Z,49.01963333,-123.15118333,2022-08-29 07:45:21 Z,49.01958333,-123.15123333,2022-08-31 14:39:09 Z
