port_code,latitude,longitude,ATA_lat,ATA_long,ATA,ATB_lat,ATB_long,ATB,ATD_lat,ATD_long,ATD
KRBNP,35.065,128.79797,35.06618,128.79717,2022-07-05 02:00:03 Z,35.06575,128.79755,2022-07-05 02:05:01 Z,35.06592,128.79763,2022-07-08 17:05:10 Z
AUMEL,-37.84815,144.91067,-37.84828,144.91055,2022-08-03 20:55:33 Z,-37.84803,144.91073,2022-08-03 21:00:28 Z,-37.84817,144.91042,2022-08-06 03:00:32 Z
AUBTB,-33.9705,151.20647,-33.97065,151.20682,2022-08-07 23:45:30 Z,-33.97048,151.20653,2022-08-07 23:50:26 Z,-33.24458,152.2185,2022-08-10 06:10:37 Z
AUBRA,-27.36152,153.17802,-27.36073,153.17782,2022-08-13 05:50:31 Z,-27.36125,153.17802,2022-08-13 05:55:26 Z,-27.36105,153.17795,2022-08-15 04:05:25 Z
