port_code,latitude,longitude,ATA_lat,ATA_long,ATA,ATB_lat,ATB_long,ATB,ATD_lat,ATD_long,ATD
CNNGB,29.9863,121.8401,29.9859,121.83807,2022-07-02 02:31:22 Z,29.98628,121.83963,2022-07-02 02:38:23 Z,29.97688,121.8409,2022-07-03 14:40:33 Z
CNXHK,31.58512,121.46435,31.59255,121.447,2022-07-25 05:25:47 Z,31.58517,121.46438,2022-07-25 07:50:13 Z,31.58467,121.46448,2022-07-27 01:20:17 Z
SGTUA,1.25407,103.62882,1.19122,103.65817,2022-08-06 08:20:30 Z,1.25462,103.62897,2022-08-06 09:55:36 Z,1.25672,103.6309,2022-08-07 15:30:37 Z
MYPKG,2.92745,101.29033,2.75937,101.32178,2022-08-09 17:34:26 Z,2.9276,101.29032,2022-08-10 06:37:31 Z,2.92895,101.2874,2022-08-10 18:25:27 Z
INNSA,18.9622,72.94958,18.96258,72.94923,2022-08-16 04:35:31 Z,18.96232,72.94962,2022-08-16 04:47:40 Z,18.96182,72.9476,2022-08-17 04:30:28 Z
INMUN,22.74546667,69.71,22.74685,69.71073,2022-08-18 12:10:34 Z,22.74585,69.71008,2022-08-18 12:22:28 Z,22.74383333,69.71836667,2022-08-19 17:13:04 Z
