port_code,latitude,longitude,ATA_lat,ATA_long,ATA,ATB_lat,ATB_long,ATB,ATD_lat,ATD_long,ATD
USLAX,33.75132,-118.27362,33.75117,-118.27324,2022-07-13 12:50:08 Z,33.75147,-118.27363,2022-07-13 12:55:07 Z,33.75152,-118.27345,2022-07-23 02:00:03 Z
USTSU,37.81047,-122.32667,36.90583,-125.62363,2022-07-27 04:02:04 Z,37.8105,-122.32659,2022-07-31 14:55:56 Z,37.81067,-122.32658,2022-08-01 23:50:31 Z
TWKEL,25.14735,121.75353,25.15001,121.75465,2022-08-15 23:05:47 Z,25.14742,121.75353,2022-08-15 23:16:34 Z,25.15091,121.7552,2022-08-16 12:50:35 Z
CNFHC,24.44672667,118.00821167,24.44062167,118.01863,2022-08-18 22:51:00 Z,24.44684833,118.00802167,2022-08-18 23:12:07 Z,24.444655,118.00652833,2022-08-20 02:12:35 Z
CNSTJ,22.57347833,114.26776,22.57075,114.26851,2022-08-20 20:50:19 Z,22.573515,114.267745,2022-08-20 21:00:46 Z,22.57043167,114.26716333,2022-08-21 23:52:44 Z
TWKHH,22.544875,120.32741,22.54651667,120.32798167,2022-08-22 18:45:50 Z,22.544935,120.327405,2022-08-22 18:56:35 Z,22.54606167,120.33184833,2022-08-24 10:50:40 Z
