port_code,latitude,longitude,ATA_lat,ATA_long,ATA,ATB_lat,ATB_long,ATB,ATD_lat,ATD_long,ATD
TWKHH,22.54394,120.32832,22.54401,120.32825,2022-06-30 14:57:28 Z,22.54401,120.32825,2022-06-30 14:57:28 Z,22.54449,120.32879,2022-06-30 22:30:33 Z
CNSTJ,22.56636,114.28383,22.56374,114.28763,2022-07-03 15:20:41 Z,22.56513,114.28496,2022-07-03 15:30:35 Z,22.56511,114.28244,2022-07-04 23:48:30 Z
NLMSV,51.94961,3.98901,51.94984,3.99061,2022-08-01 12:25:27 Z,51.94971,3.98923,2022-08-01 12:35:27 Z,51.95629,3.99842,2022-08-03 22:25:35 Z
DEHAM,53.52853167,9.92309667,53.52823333,9.92189667,2022-08-29 17:30:21 Z,53.52857333,9.92307833,2022-08-29 17:55:38 Z,53.52859833,9.92306833,2022-08-31 14:47:56 Z
