port_code,latitude,longitude,ATA_lat,ATA_long,ATA,ATB_lat,ATB_long,ATB,ATD_lat,ATD_long,ATD
USSAV,32.13473,-81.14253,31.94142,-80.39598,2022-07-10 20:20:59 Z,32.13494,-81.14248,2022-07-15 02:20:55 Z,32.1349,-81.14227,2022-07-16 22:25:16 Z
USORF,36.90969,-76.32744,36.96789,-76.08765,2022-07-18 08:30:08 Z,36.9097,-76.32752,2022-07-18 10:35:03 Z,36.91534,-76.33584,2022-07-20 16:50:18 Z
PAPCN,9.01395,-79.61688,9.25608,-79.91302,2022-07-26 15:20:29 Z,9.01398,-79.61688,2022-07-26 21:10:06 Z,15.03124,-96.9137,2022-07-31 15:08:25 Z
TWKHH,22.547075,120.32559667,22.55271833,120.31887333,2022-08-19 08:35:13 Z,22.54760667,120.32564333,2022-08-19 08:50:18 Z,22.55264167,120.32476833,2022-08-20 06:30:26 Z
CNSTJ,22.567765,114.27293,22.39228167,114.5848,2022-08-21 14:20:54 Z,22.56784667,114.27281,2022-08-22 13:30:23 Z,22.567825,114.27282,2022-08-23 16:30:21 Z
CNYAN,30.65366167,122.01626167,30.36439667,122.84121833,2022-08-26 01:04:44 Z,30.654065,122.015795,2022-08-27 18:12:02 Z,30.64258333,122.02286167,2022-08-28 18:04:44 Z
KRBNP,35.07121,128.83020833,34.71670333,128.92512,2022-08-30 10:52:35 Z,35.07128167,128.83026667,2022-08-30 15:08:59 Z,35.07127333,128.83021667,2022-08-31 14:35:19 Z
